1: Isodon, 100.0%
2: Isodon, 100.0%
3: Isodon, 100.0%
4: Isodon, 100.0%
5: Isodon, 100.0%
6: Isodon, 100.0%
7: Isodon, 100.0%
8: Isodon, 100.0%
9: Isodon, 100.0%
10: Isodon, 100.0%
11: Isodon, 100.0%
12: Isodon, 100.0%
13: Isodon, 100.0%
14: Isodon, 100.0%
15: Isodon, 100.0%
16: Isodon, 100.0%
17: Isodon, 100.0%
18: Isodon, 100.0%
19: Isodon, 100.0%
20: Isodon, 100.0%
21: Isodon, 100.0%
22: Isodon, 100.0%
23: Isodon, 100.0%
24: Isodon, 100.0%
25: Isodon, 100.0%
26: Isodon, 100.0%
27: Isodon, 100.0%
28: Isodon, 100.0%
29: Isodon, 99.89816198207201%
30: Isodon, 100.0%
31: Isodon, 100.0%
32: Isodon, 99.99999997837648%
33: Isodon, 100.0%
34: Isodon, 100.0%
